liyi@liyi-Lenovo-IdeaPad-Y400:~/svn/dblpmining$ python hw1.py 1
[[u'De-Nian Yang', u'Hong-Han Shuai'], 0.140625]
[[u'Peer Kr\xf6ger', u'Erich Schubert'], 0.140625]
[[u'Jimeng Sun', u'Jianying Hu'], 0.13888888888888887]
[[u'Jiawei Han', u'Xiang Ren'], 0.1361111111111111]
[[u'Jieping Ye', u'Ian Davidson'], 0.13333333333333333]
[[u'Xiangnan Kong', u'Zhifeng Hao'], 0.13043478260869565]
[[u'Jieping Ye', u'Pinghua Gong'], 0.13020833333333331]
[[u'Qi He', u'Chenliang Li'], 0.1298076923076923]
[[u'Hao Wang', u'Kui Yu'], 0.1286008230452675]
[[u'Feng Chen', u'Bingsheng Wang'], 0.12857142857142856]
[[u'Michael Bendersky', u'Donald Metzler'], 0.12857142857142856]
[[u'Chris H. Q. Ding', u'Dijun Luo'], 0.12698412698412698]
[[u'Jeffrey C. Jackson', u'Christino Tamon'], 0.125]
[[u'Eyke H\xfcllermeier', u'R\xf3bert Busa-Fekete'], 0.125]
[[u'Haibo Hu', u'Sourav S. Bhowmick'], 0.125]
[[u'Evangelos E. Papalexakis', u'Tom M. Mitchell'], 0.125]
[[u'Ryen W. White', u'Susan T. Dumais'], 0.12313612313612314]
[[u'Francesco Bonchi', u'Giuseppe Manco'], 0.12260536398467432]
[[u'Jianmin Wang 0001', u'Zijia Lin'], 0.12000000000000002]
[[u'Nicol\xf2 Cesa-Bianchi', u'Alex Conconi'], 0.12]
[[u'Maarten de Rijke', u'Ilya Markov'], 0.11842105263157894]
[[u'Nick Craswell', u'Georges Dupret'], 0.11538461538461538]
[[u'Min Wang', u'Peifeng Yin'], 0.11344537815126049]
[[u'Dmitry Lagun', u'Qi Guo'], 0.11249999999999999]
[[u'Thanawin Rakthanmanon', u'Abdullah Mueen'], 0.11157024793388429]
[[u'Jiawei Han', u'Jing Gao'], 0.11154684095860566]
[[u'Ping Luo', u'Zhongzhi Shi'], 0.10850694444444446]
[[u'Hady Wirawan Lauw', u'Freddy Chong Tat Chua'], 0.10714285714285714]
[[u'Iadh Ounis', u'Eugene Kharitonov'], 0.10588235294117647]
[[u'Longbing Cao', u'Bo Liu'], 0.10285714285714284]
[[u'Ryen W. White', u'Youngho Kim'], 0.10227272727272727]
[[u'Heng Huang', u'Dijun Luo'], 0.09696969696969697]
[[u'Eamonn J. Keogh', u'Abdullah Mueen'], 0.0957871396895787]
